crawler,purpose,robots_access,live_status,waf_or_cdn_result,recommended_action,action_taken,evidence,phase
ChatGPT-User,user-triggered fetch,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /sitemap.xml,baseline
ChatGPT-User,user-triggered fetch,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /,baseline
ChatGPT-User,user-triggered fetch,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /lessons/performance/,baseline
ChatGPT-User,user-triggered fetch,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /assets/social.png,baseline
GPTBot,training; policy unchanged,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /robots.txt,baseline
GPTBot,training; policy unchanged,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /sitemap.xml,baseline
GPTBot,training; policy unchanged,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /,baseline
GPTBot,training; policy unchanged,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /lessons/performance/,baseline
GPTBot,training; policy unchanged,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /assets/social.png,baseline
Claude-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /robots.txt,baseline
Claude-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /sitemap.xml,baseline
Claude-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /,baseline
Claude-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /lessons/performance/,baseline
Claude-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /assets/social.png,baseline
PerplexityBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /robots.txt,baseline
PerplexityBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /sitemap.xml,baseline
PerplexityBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /,baseline
PerplexityBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /lessons/performance/,baseline
PerplexityBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /assets/social.png,baseline
Twitterbot,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /robots.txt,baseline
Twitterbot,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /sitemap.xml,baseline
Twitterbot,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /,baseline
Twitterbot,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /lessons/performance/,baseline
Twitterbot,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /assets/social.png,baseline
facebookexternalhit,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /robots.txt,baseline
facebookexternalhit,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /sitemap.xml,baseline
facebookexternalhit,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /,baseline
facebookexternalhit,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /lessons/performance/,baseline
facebookexternalhit,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /assets/social.png,baseline
Googlebot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /robots.txt,after
Googlebot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /sitemap.xml,after
Googlebot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /,after
Googlebot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /lessons/performance/,after
Googlebot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /assets/social.png,after
bingbot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /robots.txt,after
bingbot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /sitemap.xml,after
bingbot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /,after
bingbot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /lessons/performance/,after
bingbot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /assets/social.png,after
OAI-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /robots.txt,after
OAI-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /sitemap.xml,after
OAI-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /,after
OAI-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /lessons/performance/,after
OAI-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /assets/social.png,after
ChatGPT-User,user-triggered fetch,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /robots.txt,after
ChatGPT-User,user-triggered fetch,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /sitemap.xml,after
ChatGPT-User,user-triggered fetch,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /,after
ChatGPT-User,user-triggered fetch,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /lessons/performance/,after
ChatGPT-User,user-triggered fetch,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /assets/social.png,after
GPTBot,training; policy unchanged,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /robots.txt,after
GPTBot,training; policy unchanged,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /sitemap.xml,after
GPTBot,training; policy unchanged,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /,after
GPTBot,training; policy unchanged,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /lessons/performance/,after
GPTBot,training; policy unchanged,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /assets/social.png,after
Claude-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /robots.txt,after
Claude-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /sitemap.xml,after
Claude-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /,after
Claude-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /lessons/performance/,after
Claude-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /assets/social.png,after
PerplexityBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /robots.txt,after
PerplexityBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /sitemap.xml,after
PerplexityBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /,after
PerplexityBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /lessons/performance/,after
PerplexityBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /assets/social.png,after
Twitterbot,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /robots.txt,after
Twitterbot,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /sitemap.xml,after
Twitterbot,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /,after
Twitterbot,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /lessons/performance/,after
Twitterbot,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /assets/social.png,after
facebookexternalhit,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /robots.txt,after
facebookexternalhit,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /sitemap.xml,after
facebookexternalhit,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /,after
facebookexternalhit,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /lessons/performance/,after
facebookexternalhit,social preview,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/after-edge.json /assets/social.png,after
